id,poid,time,organ,max,min,avg,IndustryValue,EnvEmerg,NetIndustryValue,PollutantEmission,WasteGas,RealEstateDev,WasteDisposalVol,NumWasteFactories,MajorEnergyConsumption,IndustryValue_Overall,IndustrialEnterprise
40669,PFUnDA,2017,muscle,,,0.88,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40670,PFUnDA,2017,muscle,,,6.94,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40671,PFUnDA,2017,muscle,,,5.12,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40672,PFUnDA,2017,muscle,,,6.58,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40673,PFUnDA,2017,muscle,,,1.57,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40674,PFUnDA,2017,muscle,,,2.4,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40675,PFUnDA,2017,muscle,,,1.34,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40676,PFUnDA,2017,muscle,,,33.1,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40677,PFUnDA,2017,muscle,,,6.89,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40678,PFUnDA,2017,muscle,,,8.88,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40679,PFUnDA,2017,muscle,,,8.19,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40680,PFUnDA,2017,muscle,,,11.9,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40681,PFUnDA,2017,muscle,,,10.9,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40682,PFUnDA,2017,muscle,,,8.64,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40683,PFUnDA,2017,muscle,,,15.3,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40684,PFUnDA,2017,muscle,,,12.8,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40685,PFUnDA,2017,muscle,,,9.12,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40686,PFUnDA,2017,muscle,,,13.4,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40687,PFUnDA,2017,muscle,,,1.07,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40688,PFUnDA,2017,muscle,,,4.72,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40689,PFUnDA,2017,muscle,,,4.38,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40690,PFUnDA,2017,muscle,,,4.07,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40691,PFUnDA,2017,muscle,,,2.33,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40692,PFUnDA,2017,muscle,,,2.91,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40693,PFUnDA,2017,muscle,,,1.25,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40694,PFUnDA,2017,muscle,,,0.11,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40695,PFUnDA,2017,muscle,,,0.68,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40696,PFUnDA,2017,muscle,,,0.8,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40697,PFUnDA,2017,muscle,,,0.17,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40698,PFUnDA,2017,muscle,,,0.52,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
40699,PFUnDA,2017,muscle,,,0.19,4597,8,9553.68,,41.63,7126,1591.3,83,38164.71,22515.8,239170
70904,PFUnDA,2013,muscle,,,0.61,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70913,PFUnDA,2013,muscle,,,1.14,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70922,PFUnDA,2013,liver,,,12.9,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70931,PFUnDA,2013,muscle,,,1.77,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70940,PFUnDA,2013,liver,,,9.87,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70949,PFUnDA,2013,muscle,,,13.3,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70958,PFUnDA,2013,liver,,,10.4,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70967,PFUnDA,2013,muscle,,,2.43,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70976,PFUnDA,2013,egg,,,9.76,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70985,PFUnDA,2013,muscle,,,3.94,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
70994,PFUnDA,2013,muscle,,,0.27,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71003,PFUnDA,2013,muscle,,,1.14,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71012,PFUnDA,2013,muscle,,,0.53,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71021,PFUnDA,2013,muscle,,,2.82,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71030,PFUnDA,2013,muscle,,,0.48,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71039,PFUnDA,2013,muscle,,,0.49,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71048,PFUnDA,2013,muscle,,,1.6,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71057,PFUnDA,2013,muscle,,,0.86,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
71066,PFUnDA,2013,muscle,,,2.32,2279,7,3091.73,294053.96,59.94,4267,745.8,36,12166.72,10227.4,85826
88194,PFUnDA,2014,muscle,62,26,45,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88201,PFUnDA,2014,muscle,152,36,87,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88208,PFUnDA,2014,muscle,5,1,3,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88215,PFUnDA,2014,muscle,27,13,19,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88222,PFUnDA,2014,muscle,81,19,50,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88229,PFUnDA,2014,muscle,39,8,17,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88236,PFUnDA,2014,muscle,121,1,52,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88243,PFUnDA,2014,muscle,10,,125,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88250,PFUnDA,2014,muscle,258,151,196,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88257,PFUnDA,2014,muscle,106,10,36,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88264,PFUnDA,2014,muscle,44,18,35,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88271,PFUnDA,2014,muscle,144,,40,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88278,PFUnDA,2014,muscle,58,11,210,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88285,PFUnDA,2014,muscle,146,28,57,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88292,PFUnDA,2014,muscle,,,413,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88299,PFUnDA,2014,muscle,86,2,36,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88306,PFUnDA,2014,muscle,19,,,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
88313,PFUnDA,2014,muscle,1295,490,828,628,0,1275.02,149643.71,47.22,2154,553.4,22,13595.53,4527.9,37509
5,PFUdA,2010,leaf,,,0.69,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
18,PFUdA,2010,leaf,,,0.5,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
37,PFUdA,2010,leaf,,,0.31,7469,0,10172.55,722978,105.05,6527,1938.6,41,15983.62,21387.7,
122,PFUdA,2014,stems、leaf,130,0,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
123,PFUdA,2014,root,210,100,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
144,PFUdA,2014,stems、leaf,,,30,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
145,PFUdA,2014,root,90,80,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
166,PFUdA,2014,stems、leaf,120,70,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
167,PFUdA,2014,root,140,30,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
179,PFUdA,2014,whole,140,60,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
190,PFUdA,2014,whole,170,30,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
201,PFUdA,2014,whole,730,160,,748,11,3579.11,150713.57,7.89,2811,733.8,25,1736.54,3522.8,57761
2218,PFUdA,2010,whole,4.4,0.81,2.94,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2219,PFUdA,2010,muscle,1.11,0.63,0.59,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2220,PFUdA,2010,muscle,6.14,0.89,1.27,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2221,PFUdA,2010,whole,4.4,0,2.72,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2222,PFUdA,2010,whole,3.99,2.66,3.08,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2223,PFUdA,2010,whole,12.6,6.47,8.03,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2224,PFUdA,2010,muscle,9.7,3.3,6.55,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2225,PFUdA,2010,whole,8.9,4.68,6.89,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2226,PFUdA,2010,muscle,4.32,0,1.51,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2227,PFUdA,2010,muscle,7.48,2.95,6.04,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2228,PFUdA,2010,muscle,56,2.8,9.41,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2229,PFUdA,2010,whole,2.8,1.4,1.88,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2230,PFUdA,2010,muscle,0.46,0,0.46,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2231,PFUdA,2010,muscle,1.7,0.31,0.7,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2232,PFUdA,2010,whole,3.85,1.1,2.13,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2233,PFUdA,2010,whole,0.61,0,0.61,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2234,PFUdA,2010,whole,3.25,0.09,1.82,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2235,PFUdA,2010,muscle,11.3,0,2.38,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2236,PFUdA,2010,whole,3.85,0,1.91,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2237,PFUdA,2010,muscle,10.2,0,1.16,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2238,PFUdA,2010,muscle,3.75,1.32,2.62,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
2239,PFUdA,2010,muscle,12.3,1.1,1.66,5373,0,10261.18,555500,105.05,6070,1017.1,44,23100.48,19382.2,
